                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.157,                 2.4516,                  1.156,                0.83902,                  0.635,                0.72247,                0.48374,                0.63064,                 27.833,                0.69268,             0.00066255,             0.00066255,             0.00066255
                      2,                 1.3022,                 1.6579,                 1.2691,                0.83248,                  0.699,                0.79519,                0.52961,                0.60969,                 17.417,                 0.6729,              0.0013029,              0.0013029,              0.0013029
                      3,                 1.3151,                 1.3318,                 1.2924,                 0.8234,                0.74136,                0.80325,                0.50799,                0.65123,                 21.498,                0.69876,              0.0019168,              0.0019168,              0.0019168
                      4,                 1.3248,                 1.2033,                  1.289,                0.89435,                  0.812,                0.87914,                0.58198,                0.63049,                 1.7413,                0.67735,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2743,                 1.0465,                 1.2533,                0.92967,                0.85923,                0.92087,                 0.6499,                0.54734,                 6.6157,                0.63926,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1401,                0.94527,                 1.1788,                0.90983,                0.85766,                0.91122,                0.63761,                 0.5679,                 3.9382,                0.64509,               0.001802,               0.001802,               0.001802
                      7,                 1.1518,                 0.9505,                 1.1993,                  0.908,                  0.894,                0.94147,                0.66757,                 0.5304,                  6.639,                0.62399,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1463,                0.92724,                 1.1886,                0.91136,                  0.838,                0.90572,                0.64695,                0.53777,                 5.5122,                0.63155,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1009,                0.86534,                 1.1628,                0.92666,                  0.896,                0.95003,                0.69927,                0.49944,                 1.7098,                0.60766,              0.0016832,              0.0016832,              0.0016832
                     10,                  1.083,                0.82392,                 1.1542,                0.91004,                0.84972,                0.90931,                0.67202,                0.52135,                 2.4762,                0.61597,              0.0016436,              0.0016436,              0.0016436
